company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
ABB,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
ABB,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
ABB,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,79.99
ABB,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,72.54
ABB,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,72.0
ABB,con,FALLBACK_CON_REVENUE,Revenue CAGR of 9.72% indicates relatively modest historical top-line growth,70.0
ADANIENSOL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.7
ADANIENSOL,con,CON_3,Operating margins declining for consecutive years suggest pricing or cost pressure,90.0
ADANIENSOL,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
ADANIENSOL,con,CON_1,Return on equity below 10% indicates relatively weak shareholder capital efficiency,85.0
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
ADANIENSOL,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,81.35
ADANIENT,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,95.0
ADANIENT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,95.0
ADANIENT,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
ADANIENT,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
ADANIENT,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78.03
ADANIENT,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
ADANIENT,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
ADANIENT,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,81.45
ADANIGREEN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ADANIGREEN,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
ADANIGREEN,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,91.88
ADANIGREEN,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
